titulo;link;vistas;authors;ultimaActualizacion;last_chapter
School Zone (Ningiyau);https://manganelo.com/manga/yf921302;29309;Ningiyau;Dec 02,19;0
Jiuyang Shenwang;https://manganelo.com/manga/cz921523;32144;Tu Jun;Dec 22,19;0
Mijuku Na Bokura;https://manganelo.com/manga/yd921567;26949;Teshima chia;Dec 25,19;0
Lemonade Girl;https://manganelo.com/manga/cr921603;17071;Yuki Nishihara;Dec 27,19;0
The Making Of A Princess;https://manganelo.com/manga/jn922043;26053;Ah yu;Feb 02,20;0
Rebirth Of The Sea Emperor;https://manganelo.com/manga/dd922057;28201;YOOUSI;Feb 04,20;0
A Manual To Raising A Dinosaur Boy;https://manganelo.com/manga/hc922151;8099;unknown;Feb 12,20;0
Huai Huai Jiao Qi Tian Tian Chong;https://manganelo.com/manga/wz922192;8618;Ciyuan Shuguan;Feb 16,20;0
The Flower Of Vampires;https://manganelo.com/manga/fl922202;8813;unknown;Feb 17,20;0
Sword Art Online: Progressive - Kuraki Yuuyami No Scherzo;https://manganelo.com/manga/eu922213;20674;Kawahara Reki;Feb 18,20;0
Bring The Love;https://manganelo.com/manga/js921748;23641;unknown;Jan 08,20;0
Crescent;https://manganelo.com/manga/cj921780;15085;Randy & kp;Jan 10,20;0
5Toubun No Hanayome - Magical Girl Raiha With The Quintuplet Of Witch;https://manganelo.com/manga/bu921906;17898;Haruba Negi,Tezuka Productions;Jan 20,20;0
Undead + Unluck;https://manganelo.com/manga/cs921898;46769;Yoshifumi Tozuka;Jan 20,20;0
Ni Yu: God Is A Girl;https://manganelo.com/manga/qz921943;16763;Xiao ye jiao mu;Jan 23,20;0
Infinite Gold God;https://manganelo.com/manga/dc921962;30023;Fox prawn culture swollen;Jan 25,20;0
Scarf Man;https://manganelo.com/manga/jr922000;13086;Enjo;Jan 28,20;0
I Can't Say No To Him;https://manganelo.com/manga/ed922009;15694;Ji Jing Jun, Shou;Jan 29,20;0
Blattodea;https://manganelo.com/manga/va922006;32914;Murata Shinya;Jan 29,20;0
My Charging Girlfriend;https://manganelo.com/manga/eb922023;18941;Man See;Jan 30,20;0
Yokai Hunter - Mount Masho;https://manganelo.com/manga/ul920996;16209;Morohoshi Daijirou;Nov 01,19;0
A Dead Crow's Stare;https://manganelo.com/manga/du921029;47812;N.BOB;Nov 02,19;0
Ack! Its A Toy!;https://manganelo.com/manga/dd921023;51336;OFFCAR;Nov 02,19;0
Magical★Explorer - It Seems I Have Become A Friend Of The Protagonist In An Eroge World, But Because Magic Is Fun I Have Abandoned The Role And Train Myself;https://manganelo.com/manga/sp921037;209160;Yukari Higa,Iris;Nov 04,19;0
The Cat Queen;https://manganelo.com/manga/xp921091;17744;Maru;Nov 06,19;0
Normal High School Girls Tried Being Local Idols;https://manganelo.com/manga/zi920846;21308;Koutarou Kosugi;Oct 11,19;0
Yun Tian Yao;https://manganelo.com/manga/be920674;22467;Bian Li Jun,Da Shu;Sep 22,19;0
3Ldk No Ou-Sama;https://manganelo.com/manga/is920699;36505;Rika Enoki;Sep 25,19;0
Smoke & Honey;https://manganelo.com/manga/ha921563;42875;Hiroko Nagakura;Dec 29,19;0.1
Karesen Joshikousei To Tokikake Ojisan;https://manganelo.com/manga/fe921993;33999;Yukimura Alto;Jan 28,20;0.2
Kouhai-Kun Wa Amayakashitai;https://manganelo.com/manga/lb921237;80520;Sekaneko;Dec 10,19;0.9
Regarding Reincarnated To Shima Kosaku;https://manganelo.com/manga/qt921297;42928;Kenshi Hirokane;Dec 01,19;1
Asahina Wakaba To Marumaru Na Kareshi;https://manganelo.com/manga/aa921322;69669;Hazama Takashi;Dec 04,19;1
Death March To The Parallel World Rhapsody Ex: Princess Arisa's Otherworldly Struggle;https://manganelo.com/manga/ux921348;104978;Hiro Ainana,Akira Segami;Dec 06,19;1
Hare To Mononoke;https://manganelo.com/manga/vz921362;17932;Shaku;Dec 07,19;1
A Chronicle Of Vile Ambitions;https://manganelo.com/manga/to921366;29988;Tutu;Dec 07,19;1
A Bouquet For An Ugly Girl.;https://manganelo.com/manga/jd921373;31754;Roku Sakura;Dec 07,19;1
Rack-Instruments Of Torture In The 13 Section-;https://manganelo.com/manga/mh921397;23342;Baitou Ibaraki;Dec 09,19;1
The Red Eyed Girl;https://manganelo.com/manga/lf921410;15858;Updating;Dec 10,19;1
The Servant Of The Ultimate Party ~An Old Man Forced To Take A Holiday~;https://manganelo.com/manga/xm921420;96096;Takafumi Sato,peco;Dec 11,19;1
Sakura Illustrated;https://manganelo.com/manga/gr921423;11099;Genpei Akasegawa;Dec 12,19;1
The War Chronicles Of Cinderella;https://manganelo.com/manga/zp921465;16325;MAAM;Dec 16,19;1
Aqua Regia;https://manganelo.com/manga/hd921476;13463;Federico Luciano Rohr;Dec 17,19;1
As A Virtuous Middle-Aged Man, My New Life Was Confirmed To Be Sss Rank;https://manganelo.com/manga/yf921483;198290;Nazuna Miki,Shiro Yuzuma,Gochou;Dec 17,19;1
Bite Into Me;https://manganelo.com/manga/dp921480;290981;Teku Mahiru;Dec 17,19;1
Suddenly I'm A Noblewoman;https://manganelo.com/manga/ud921487;18824;Seo Jaeyong;Dec 18,19;1
Ellin's Solhwa;https://manganelo.com/manga/uc921513;23027;Ju Xiang;Dec 22,19;1
Ordinary Emperor;https://manganelo.com/manga/oj921515;37397;Neko, Nuannuan Tongren Xiaomei;Dec 22,19;1
Sakamocchan, The Private Tutor For Shy Kids;https://manganelo.com/manga/xr921530;23950;Nuko-Sama;Dec 23,19;1
5Toubun No Hanayome - Tawashi3240' Ichika Doujin;https://manganelo.com/manga/to921566;43079;Tawashi3240;Dec 25,19;1
The Student Council President Solves Everything On The Bed;https://manganelo.com/manga/nn921569;88612;Tsukasa;Dec 25,19;1
Lupin Iii: World’S Most Wanted;https://manganelo.com/manga/sc921586;17420;Monkey Punch;Dec 27,19;1
Kiss The Bride;https://manganelo.com/manga/lx921582;50262;ZIG,Myeolchi;Dec 27,19;1
The Way To Confess;https://manganelo.com/manga/qd921602;121641;Kimpa,Kira (II);Dec 27,19;1
The Great Prophet Is Running From Her Previous Life;https://manganelo.com/manga/ue921535;168658;Kotobuki Rima;Dec 28,19;1
Today, We Continue Our Lives Together Under The Same Roof;https://manganelo.com/manga/ny921634;29810;Ayu Inui;Dec 29,19;1
Satsuriku No Kuindeddo – 7-Ri No Onna Shikeishuu;https://manganelo.com/manga/es921638;152205;Saimaru Bamyuuda;Dec 29,19;1
Moon, The Great Pet King;https://manganelo.com/manga/bm921660;5854;Shuichi Sashimi;Dec 30,19;1
The Fallen Dog God -Slashdøg-;https://manganelo.com/manga/xm921643;62022;Ichiei Ishibumi,Miyama-Zero,Kikurage;Dec 30,19;1
A Fool And A Girl;https://manganelo.com/manga/rq921645;147572;Kim Hwibin,Rong Da Im;Dec 30,19;1
People Made Fun Of Me For Being Jobless But Its Not Bad At All;https://manganelo.com/manga/cy921650;250679;Katanazuki,Akimasa Nanjou;Dec 30,19;1
Fuwari;https://manganelo.com/manga/lz921669;11370;Cindy Chwa;Dec 31,19;1
Mistake;https://manganelo.com/manga/zr921666;19352;Takiba;Dec 31,19;1
Glass Wall;https://manganelo.com/manga/su921676;32480;Choho;Dec 31,19;1
